mmsi,timestamp,lon,lat,speed,heading,speed_change,stop_duration,wind_speed,wave_height,rainfall,visibility,zone_type,alert_sent,historical_pattern,label
V1000,01-01-2025,81.33842942,10.03651169,13.20123723,330.1449392,3.99,0,5.522417687,3.477139894,99.91905222,2.960445318,Restricted Zone,yes,clean,crossed
V1000,02-01-2025,80.38597857,10.12191647,4.587620911,291.1399115,-8.61,0,9.421439006,3.582046141,6.6768867,7.651485738,Protected Area,yes,clean,crossed
V1000,03-01-2025,80.66035714,10.03676208,16.47045446,325.6573121,11.88,0,18.25337356,1.920356243,3.732265623,7.265921525,Protected Area,yes,clean,crossed
V1000,04-01-2025,78.2900375,7.341837603,6.118637918,278.1217331,-10.35,0,4.157768504,1.86364129,77.59808678,6.427969703,Fishing Zone,no,clean,safe
V1000,05-01-2025,80.9737815,9.803429053,11.96723711,187.6739171,5.85,0,16.96408014,2.000271521,66.16018363,4.261262193,Restricted Zone,yes,clean,crossed
V1001,01-01-2025,79.64818875,10.20133257,3.481656741,354.6977361,-6.17,0,18.16021871,2.113157892,63.60511614,9.028317829,Protected Area,yes,clean,crossed
V1001,02-01-2025,79.75425237,9.661521403,4.394214863,144.1656299,0.91,0,6.963230566,2.675950182,19.21094726,4.859130979,Fishing Zone,yes,clean,crossed
V1001,03-01-2025,78.89109526,7.476299028,10.18232695,81.4906482,5.79,0,18.2459857,1.130908948,13.26041196,2.544857687,Fishing Zone,yes,clean,high_risk
V1001,04-01-2025,80.17487642,10.3078375,4.410864259,222.0225751,-5.77,0,20.64744327,0.714658185,67.37093546,3.210701962,Restricted Zone,yes,clean,crossed
V1001,05-01-2025,77.67344239,8.094349389,16.52681123,33.89203877,12.12,0,8.67435334,1.088685617,76.0779239,5.974722153,Protected Area,no,clean,safe
V1002,01-01-2025,79.50461487,8.53726387,8.26555926,322.0004125,-3.43,1.36,17.11951021,3.929561538,41.65284335,3.465679914,Restricted Zone,yes,frequent_crosser,crossed
V1002,02-01-2025,78.04464653,8.230435533,12.31495747,223.214847,4.05,0,12.75153629,1.619716474,83.08180245,2.208116179,Protected Area,no,frequent_crosser,safe
V1002,03-01-2025,81.4505914,9.395320194,12.35383782,183.0855138,0.04,4.3,21.78179195,2.835890358,82.18091337,1.635392116,Restricted Zone,yes,frequent_crosser,crossed
V1002,04-01-2025,79.58251449,7.63433509,11.66860802,356.4275663,-0.69,0,7.562824346,1.837808691,38.16046747,6.247774169,Protected Area,yes,frequent_crosser,crossed
V1002,05-01-2025,79.49974189,9.713787057,11.547711,84.14195153,-0.12,0,15.07966617,0.825028061,6.542499829,8.404481231,Fishing Zone,yes,frequent_crosser,crossed
V1003,01-01-2025,80.67887325,9.775673384,14.7516247,109.9957505,2.98,0,8.763290532,1.824913461,67.3347549,5.611485665,Fishing Zone,yes,clean,crossed
V1003,02-01-2025,77.85079452,7.669604079,15.08930134,242.8364955,0.34,0,23.90225548,1.40073994,47.26398242,1.922748562,Restricted Zone,no,clean,safe
V1003,03-01-2025,79.13405071,8.526629982,12.18441064,263.3957041,-2.9,0,20.67451379,1.11504754,24.90893657,6.058179979,Protected Area,yes,clean,high_risk
V1003,04-01-2025,81.2188831,10.30650071,11.31727605,123.6691475,-0.87,0,9.820593826,3.415023458,57.76177336,4.126565095,Restricted Zone,yes,clean,crossed
V1003,05-01-2025,79.66800788,10.27581373,15.10440982,355.9306313,3.79,3.44,21.40114399,3.529700831,24.87386731,4.842280025,Restricted Zone,yes,clean,crossed
V1004,01-01-2025,78.14068658,7.905149937,4.869012058,197.8012513,-2.96,0,19.52650875,3.293593973,34.02229568,2.227368153,Restricted Zone,no,rare_crosser,safe
V1004,02-01-2025,77.87385845,7.996806775,13.94588763,232.2202342,9.08,3.67,11.88308813,2.561649988,61.12905337,3.323926941,Fishing Zone,no,rare_crosser,safe
V1004,03-01-2025,78.54291503,7.372721013,13.50420115,307.8492379,-0.44,1.09,15.43756741,0.79751236,26.08622508,4.962832586,Fishing Zone,yes,rare_crosser,high_risk
V1004,04-01-2025,80.48058865,10.32881956,16.98513257,161.2911176,3.48,2.35,21.07319339,1.965909653,72.78956274,1.000463664,Protected Area,yes,rare_crosser,crossed
V1004,05-01-2025,78.61188748,7.070009808,4.438828824,176.9021228,-12.55,0,6.70143437,2.93002986,96.96567354,4.311436314,Restricted Zone,yes,rare_crosser,high_risk
V1005,01-01-2025,78.17561866,8.431362643,15.85308198,207.581093,5.1,4.79,9.892580741,0.659464001,82.48240107,7.744509579,Protected Area,no,rare_crosser,safe
V1005,02-01-2025,81.00620525,9.78391676,9.519502633,169.7863917,-6.33,0,22.68869929,3.305380527,12.43716352,9.630693885,Fishing Zone,yes,rare_crosser,crossed
V1005,03-01-2025,78.95251173,9.605988622,14.33354839,314.8359771,4.81,0,16.47125521,3.162069016,24.93681574,6.821425293,Restricted Zone,yes,rare_crosser,high_risk
V1005,04-01-2025,80.79725705,10.03860335,13.06759782,70.51044521,-1.27,0,2.435742688,3.439644689,2.173566647,1.715197412,Fishing Zone,yes,rare_crosser,crossed
V1005,05-01-2025,78.69637474,9.023369605,12.01623268,30.26129893,-1.05,0,2.035277161,1.528810566,92.06606783,8.736889462,Fishing Zone,yes,rare_crosser,high_risk
V1006,01-01-2025,78.25139072,8.316167441,10.12272216,320.9520852,0.23,2.55,5.373662741,3.808740673,74.7357923,2.940687539,Protected Area,no,clean,safe
V1006,02-01-2025,79.4756672,8.410382187,14.71324528,135.9071868,4.59,0,7.350470471,2.380259367,67.42652354,2.354852921,Fishing Zone,yes,clean,crossed
V1006,03-01-2025,80.91397664,9.933694642,16.28863212,108.5231324,1.58,4.47,12.61566877,1.998026744,67.52020449,9.011729704,Protected Area,yes,clean,crossed
V1006,04-01-2025,79.19091384,9.438171418,10.64160372,324.6223844,-5.65,3.22,20.71549846,1.427381398,49.57952646,7.960449261,Protected Area,yes,clean,high_risk
V1006,05-01-2025,79.56637866,9.394484181,12.7509485,338.7416409,2.11,0,5.181758497,1.739495598,19.02582157,7.749141187,Protected Area,yes,clean,crossed
V1007,01-01-2025,78.82865473,8.95150428,7.220888282,95.44983263,-7.4,1.6,11.68875986,1.741420193,30.81253811,5.006369428,Fishing Zone,yes,frequent_crosser,high_risk
V1007,02-01-2025,77.9902379,7.266109732,14.31571663,275.9510633,7.09,0,3.366084429,2.559261946,78.87663546,6.790147546,Fishing Zone,no,frequent_crosser,safe
V1007,03-01-2025,79.35487689,7.972171255,3.502457074,147.2548262,-10.81,0,7.569867597,1.516766578,26.33915569,3.197495458,Protected Area,yes,frequent_crosser,crossed
V1007,04-01-2025,79.77347065,8.479332516,6.690027074,343.3791961,3.19,0,23.65419163,2.004430554,3.189167106,7.151844719,Restricted Zone,yes,frequent_crosser,crossed
V1007,05-01-2025,80.31345827,10.01595331,3.552287429,167.9094172,-3.14,0,3.613210338,3.074642989,81.4932751,6.264228805,Restricted Zone,yes,frequent_crosser,crossed
